date,country,rank,previousRank,totalPoints,previousPoints,flagUrl,countryUrl,conf
2023-12-21,Korea Republic,23,23,1550.65,1550.65,https://api.fifa.com/api/v3/picture/flags-sq-2/KOR,https://www.fifa.com/fifa-world-ranking/KOR,AFC
2023-12-21,Austria,24,24,1546.1,1546.1,https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,https://www.fifa.com/fifa-world-ranking/AUT,UEFA
2023-12-21,Australia,25,25,1539.22,1539.22,https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,https://www.fifa.com/fifa-world-ranking/AUS,AFC
2023-12-21,Sweden,26,26,1530.19,1530.19,https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,https://www.fifa.com/fifa-world-ranking/SWE,UEFA
2023-12-21,Hungary,27,27,1525.13,1525.13,https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,https://www.fifa.com/fifa-world-ranking/HUN,UEFA
2023-12-21,Tunisia,28,28,1523.23,1523.23,https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,https://www.fifa.com/fifa-world-ranking/TUN,CAF
2023-12-21,Wales,29,29,1521.88,1521.88,https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,https://www.fifa.com/fifa-world-ranking/WAL,UEFA
2023-12-21,Algeria,30,30,1520.26,1520.26,https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,https://www.fifa.com/fifa-world-ranking/ALG,CAF
2023-12-21,Poland,31,31,1520.24,1520.24,https://api.fifa.com/api/v3/picture/flags-sq-2/POL,https://www.fifa.com/fifa-world-ranking/POL,UEFA
2023-12-21,Ecuador,32,32,1519.2,1519.2,https://api.fifa.com/api/v3/picture/flags-sq-2/ECU,https://www.fifa.com/fifa-world-ranking/ECU,CONMEBOL
2023-12-21,Egypt,33,33,1518.91,1518.91,https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,https://www.fifa.com/fifa-world-ranking/EGY,CAF
2023-12-21,Serbia,34,34,1517.43,1517.43,https://api.fifa.com/api/v3/picture/flags-sq-2/SRB,https://www.fifa.com/fifa-world-ranking/SRB,UEFA
2023-12-21,Peru,35,35,1512.68,1512.68,https://api.fifa.com/api/v3/picture/flags-sq-2/PER,https://www.fifa.com/fifa-world-ranking/PER,CONMEBOL
2023-12-21,Scotland,36,36,1506.89,1506.89,https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,https://www.fifa.com/fifa-world-ranking/SCO,UEFA
2023-12-21,Turkey,37,37,1505.28,1505.28,https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,https://www.fifa.com/fifa-world-ranking/TUR,UEFA
2023-12-21,Russia,38,38,1498.84,1498.84,https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,https://www.fifa.com/fifa-world-ranking/RUS,UEFA
2023-12-21,Czech Republic,39,39,1494.04,1494.04,https://api.fifa.com/api/v3/picture/flags-sq-2/CZE,https://www.fifa.com/fifa-world-ranking/CZE,UEFA
2023-12-21,Chile,40,40,1489.82,1489.82,https://api.fifa.com/api/v3/picture/flags-sq-2/CHI,https://www.fifa.com/fifa-world-ranking/CHI,CONMEBOL
2023-12-21,Panama,41,41,1475.62,1475.62,https://api.fifa.com/api/v3/picture/flags-sq-2/PAN,https://www.fifa.com/fifa-world-ranking/PAN,CONCACAF
2023-12-21,Nigeria,42,42,1474.44,1474.44,https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,https://www.fifa.com/fifa-world-ranking/NGA,CAF
2023-12-21,Romania,43,43,1472.73,1472.73,https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,https://www.fifa.com/fifa-world-ranking/ROU,UEFA
2023-12-21,Norway,44,44,1472.36,1472.36,https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,https://www.fifa.com/fifa-world-ranking/NOR,UEFA
2023-12-21,Slovakia,45,45,1465.73,1465.73,https://api.fifa.com/api/v3/picture/flags-sq-2/SVK,https://www.fifa.com/fifa-world-ranking/SVK,UEFA
2023-12-21,Cameroon,46,46,1463.06,1463.06,https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,https://www.fifa.com/fifa-world-ranking/CMR,CAF
2023-12-21,Greece,47,47,1453.95,1453.95,https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,https://www.fifa.com/fifa-world-ranking/GRE,UEFA
2023-12-21,Canada,48,48,1453.76,1453.76,https://api.fifa.com/api/v3/picture/flags-sq-2/CAN,https://www.fifa.com/fifa-world-ranking/CAN,CONCACAF
2023-12-21,Ivory Coast,49,50,1447.65,1447.65,https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,https://www.fifa.com/fifa-world-ranking/CIV,CAF
2023-12-21,Venezuela,50,49,1447.2,1448.77,https://api.fifa.com/api/v3/picture/flags-sq-2/VEN,https://www.fifa.com/fifa-world-ranking/VEN,CONMEBOL
2023-12-21,Mali,51,51,1445.6,1445.6,https://api.fifa.com/api/v3/picture/flags-sq-2/MLI,https://www.fifa.com/fifa-world-ranking/MLI,CAF
2023-12-21,Costa Rica,52,52,1437.57,1437.57,https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,https://www.fifa.com/fifa-world-ranking/CRC,CONCACAF
2023-12-21,Paraguay,53,53,1430.73,1430.73,https://api.fifa.com/api/v3/picture/flags-sq-2/PAR,https://www.fifa.com/fifa-world-ranking/PAR,CONMEBOL
2023-12-21,Slovenia,54,54,1427.84,1427.84,https://api.fifa.com/api/v3/picture/flags-sq-2/SVN,https://www.fifa.com/fifa-world-ranking/SVN,UEFA
2023-12-21,Jamaica,55,55,1421.54,1421.54,https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,https://www.fifa.com/fifa-world-ranking/JAM,CONCACAF
2023-12-21,Saudi Arabia,56,56,1421.06,1421.06,https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,https://www.fifa.com/fifa-world-ranking/KSA,AFC
2023-12-21,Burkina Faso,57,57,1411.01,1411.01,https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,https://www.fifa.com/fifa-world-ranking/BFA,CAF
2023-12-21,Qatar,58,58,1407.3,1407.3,https://api.fifa.com/api/v3/picture/flags-sq-2/QAT,https://www.fifa.com/fifa-world-ranking/QAT,AFC
2023-12-21,Finland,59,59,1401.31,1401.31,https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,https://www.fifa.com/fifa-world-ranking/FIN,UEFA
2023-12-21,Ireland,60,60,1399.6,1399.6,https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,https://www.fifa.com/fifa-world-ranking/IRL,UEFA
2023-12-21,Ghana,61,61,1384.19,1384.19,https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,https://www.fifa.com/fifa-world-ranking/GHA,CAF
2023-12-21,Albania,62,62,1382.69,1382.69,https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,https://www.fifa.com/fifa-world-ranking/ALB,UEFA
2023-12-21,Iraq,63,63,1365.98,1365.98,https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ,https://www.fifa.com/fifa-world-ranking/IRQ,AFC
2023-12-21,United Arab Emirates,64,64,1364.46,1364.46,https://api.fifa.com/api/v3/picture/flags-sq-2/UAE,https://www.fifa.com/fifa-world-ranking/UAE,AFC
2023-12-21,North Macedonia,65,65,1362.17,1362.17,https://api.fifa.com/api/v3/picture/flags-sq-2/MKD,https://www.fifa.com/fifa-world-ranking/MKD,UEFA
2023-12-21,South Africa,66,66,1357.08,1357.08,https://api.fifa.com/api/v3/picture/flags-sq-2/RSA,https://www.fifa.com/fifa-world-ranking/RSA,CAF
2023-12-21,Congo DR,67,67,1356.66,1356.66,https://api.fifa.com/api/v3/picture/flags-sq-2/COD,https://www.fifa.com/fifa-world-ranking/COD,CAF
2023-12-21,Uzbekistan,68,68,1345.26,1345.26,https://api.fifa.com/api/v3/picture/flags-sq-2/UZB,https://www.fifa.com/fifa-world-ranking/UZB,AFC
